,GPS_time,SatPRN,Pseudo_range,CN0,SatX,SatY,SatZ
397,1.3970624384260419e+18,28,-473.85650634765625,35.0,5168012.804393136,25828300.019053843,-3440747.481402782
398,1.3970624384260419e+18,32,282.1980895996094,31.1,7795619.632812711,17843871.0624708,18362920.514741756
417,1.3970624394260419e+18,02,-472.41058349609375,41.7,14636455.956279632,-4860494.7755844975,22089973.845984723
418,1.3970624394260419e+18,03,-468.7063293457031,35.5,23138513.668714173,-12052919.394217001,4465036.110534395
419,1.3970624394260419e+18,08,213.1940155029297,46.1,25030399.842822723,4789039.760194566,8114461.181554461
420,1.3970624394260419e+18,10,387.8385314941406,40.1,-1637195.3259651912,17338344.398944348,20161579.050670728
421,1.3970624394260419e+18,21,-312.30291748046875,49.5,15760958.728622686,1911937.6306832824,21852715.157457583
422,1.3970624394260419e+18,27,573.3901977539062,38.5,23095137.669228867,13303885.894964874,-3039934.6429802966
423,1.3970624394260419e+18,28,-474.3254089355469,37.3,5167784.765270568,25828761.73338618,-3437610.235220305
424,1.3970624394260419e+18,32,282.04962158203125,44.7,7793497.353083547,17843022.227166805,18364646.37007263
452,1.3970624394260419e+18,03,-468.7816467285156,28.4,23138513.668714173,-12052919.394217001,4465036.110534395
453,1.3970624394260419e+18,08,213.18426513671875,37.9,25030399.842822723,4789039.760194566,8114461.181554461
454,1.3970624394260419e+18,10,387.7304382324219,30.6,-1637195.3259651912,17338344.398944348,20161579.050670728
455,1.3970624394260419e+18,27,574.2898559570312,31.7,23095137.669228867,13303885.894964874,-3039934.6429802966
456,1.3970624394260419e+18,32,282.1413269042969,31.9,7793497.353083547,17843022.227166805,18364646.37007263
476,1.3970624404260419e+18,02,-472.1924133300781,42.8,14636910.21642518,-4857843.355681109,22090289.65819919
477,1.3970624404260419e+18,03,-468.6457214355469,34.1,23138148.800276164,-12052411.6897502,4468203.178244211
478,1.3970624404260419e+18,08,213.0546875,47.5,25031243.54899787,4789688.116727776,8111556.5209802445
479,1.3970624404260419e+18,10,387.85650634765625,38.9,-1639333.5290692514,17339677.761634715,20160213.886368938
480,1.3970624404260419e+18,21,-312.05194091796875,49.4,15761397.681171078,1914557.4242559555,21852257.097808544
481,1.3970624404260419e+18,27,573.7417602539062,37.0,23094723.703812163,13303950.061568344,-3043055.38651061
482,1.3970624404260419e+18,28,-474.72076416015625,36.6,5167556.711026728,25829223.069058105,-3434472.915777534
483,1.3970624404260419e+18,32,282.16473388671875,44.2,7791374.829016364,17842173.425392583,18366371.843595777
507,1.3970624404260419e+18,08,213.1136016845703,37.0,25031243.54899787,4789688.116727776,8111556.5209802445
508,1.3970624404260419e+18,10,387.9524536132813,30.9,-1639333.5290692514,17339677.761634715,20160213.886368938
509,1.3970624404260419e+18,27,573.7078857421875,29.3,23094723.703812163,13303950.061568344,-3043055.38651061
