,GPS_time,SatPRN,Pseudo_range,CN0,SatX,SatY,SatZ,Pos.X,Pos.Y,"Pos,Z",Lat,Lon,Alt
0,3231.351921542082,27,570.804931640625,37.9,23098436.983025927,13303367.387089957,-3014966.440680798,4438536.937786574,3085403.9035085808,3376938.4350599707,32.166702307763295,34.80470319700695,1586.868829317391
1,3231.351921542082,27,569.6426391601562,27.9,23098436.983025927,13303367.387089957,-3014966.440680798,4438536.937786574,3085403.9035085808,3376938.4350599707,32.166702307763295,34.80470319700695,1586.868829317391
2,3232.346603449085,28,-475.15234375,22.6,5169380.722935404,25825521.78461427,-3459569.3951893607,4434962.066404635,3084226.345458844,3374381.900230744,32.16450443199266,34.81608999303595,-2827.8229289725423
3,3233.349706802983,02,-473.2129211425781,36.4,14633733.886359746,-4876403.146818345,22088069.517008904,4439099.8804752175,3086224.9832596695,3377297.726446863,32.16497645633891,34.80844279063838,2566.1637699315324
4,3234.3466066269903,28,-475.5982971191406,25.7,5168924.809042597,25826449.37859963,-3453295.7093686997,4435063.3179159835,3084401.0151327355,3374450.867172714,32.16415294241704,34.81699779912142,-2636.3182520661503
5,3235.3460042109946,03,-469.654296875,26.1,23139970.13875702,-12054947.730469286,4452366.880521359,4436895.187962256,3085311.028773233,3376332.4418479265,32.168802465839256,34.81382971182567,78.31220992933959
6,3236.346602019039,28,-476.25,38.7,5168468.837512508,25827375.454364292,-3447021.754161203,4436859.7874470735,3085277.337686524,3376307.1990735424,32.16884167107953,34.81375072324593,23.98861112445593
7,3236.346602019039,28,-476.1206970214844,28.7,5168468.837512508,25827375.454364292,-3447021.754161203,4436859.7874470735,3085277.337686524,3376307.1990735424,32.16884167107953,34.81375072324593,23.98861112445593
8,3237.3460152309854,03,-467.9024963378906,22.2,23139242.501698636,-12053934.054609507,4458701.712114238,4435644.987578523,3083518.716014354,3375071.8649603175,32.16902074899142,34.80579285340287,-2327.81417544093
9,3238.3460089890286,03,-468.0975646972656,37.0,23138878.236811876,-12053426.850471739,4461868.946930414,4436872.856654198,3085287.356050167,3376325.2550093126,32.16890052209003,34.813758821719546,47.52594459336251
10,3238.3460089890286,03,-468.2354736328125,36.8,23138878.236811876,-12053426.850471739,4461868.946930414,4436872.856654198,3085287.356050167,3376325.2550093126,32.16890052209003,34.813758821719546,47.52594459336251
11,3239.3460105510894,03,-468.7063293457031,35.5,23138513.668714173,-12052919.394217001,4465036.110534395,4436880.702632093,3085288.7107172296,3376330.565399318,32.16890641746764,34.81372312258013,56.460688271559775
12,3239.3460105510894,03,-468.7816467285156,28.4,23138513.668714173,-12052919.394217001,4465036.110534395,4436880.702632093,3085288.7107172296,3376330.565399318,32.16890641746764,34.81372312258013,56.460688271559775
13,3240.3460121459793,03,-468.6457214355469,34.1,23138148.800276164,-12052411.6897502,4468203.178244211,4436888.682226171,3085288.7166100177,3376321.416277153,32.168805106871694,34.81367487436203,57.13799793180078
14,3241.3460137030343,03,-469.5716857910156,37.7,23137783.631565005,-12051903.7370709,4471370.149767799,4436876.875458932,3085286.1672608345,3376318.1143632606,32.16883343084599,34.81372414847667,45.94260553829372
